21,"1,011","                
56205U 23054AD  23195.40893763  .00007537  00000+0  30485-3 0  9996
56205  97.4045  90.1730 0012549 274.7371  85.2433 15.24934155 14336",Fri Jul 14 2023 13:34:10 GMT-0500 (hora estándar de Colombia),1689359650,1:34:20 PM
21,"1,011","                
56205U 23054AD  23195.40893763  .00007537  00000+0  30485-3 0  9996
56205  97.4045  90.1730 0012549 274.7371  85.2433 15.24934155 14336",Fri Jul 14 2023 13:41:03 GMT-0500 (hora estándar de Colombia),1689360063,1:41:13 PM
21,"1,011","56205U 23054AD  23195.40893763  .00007537  00000+0  30485-3 0  9996
56205  97.4045  90.1730 0012549 274.7371  85.2433 15.24934155 14336",Fri Jul 14 2023 14:21:15 GMT-0500 (hora estándar de Colombia),1689362475,2:21:24 PM
21,"1,011","56205U 23054AD  23195.40893763  .00007537  00000+0  30485-3 0  9996
56205  97.4045  90.1730 0012549 274.7371  85.2433 15.24934155 14336",Fri Jul 14 2023 14:29:33 GMT-0500 (hora estándar de Colombia),1689362973,2:29:41 PM
21,"1,015","56205U 23054AD  23197.96803240  .00006640  00000+0  26865-3 0  9991
56205  97.4040  92.7035 0012551 264.3074  95.6732 15.24972904 14729",Mon Jul 17 2023 10:30:50 GMT-0500 (hora estándar de Colombia),1689607850,10:30:59 AM,506.66,-58.1
21,"1,013","56205U 23054AD  23198.42735013  .00007585  00000+0  30634-3 0  9993
56205  97.4039  93.1577 0012536 262.3703  97.6111 15.24981437 14794",Mon Jul 17 2023 11:30:48 GMT-0500 (hora estándar de Colombia),1689611448,11:30:56 AM,495.42,+2.8
22,"1,015","56205U 23054AD  23202.03620094  .00007941  00000+0  32002-3 0  9995
56205  97.4027  96.7260 0012678 247.6825 112.3070 15.25038345 15340",Fri Jul 21 2023 10:15:44 GMT-0500 (hora estándar de Colombia),1689952544,10:15:53 AM,507.53,-18.7
22,"1,015","56205U 23054AD  23202.03620094  .00007941  00000+0  32002-3 0  9995
56205  97.4027  96.7260 0012678 247.6825 112.3070 15.25038345 15340",Fri Jul 21 2023 10:35:15 GMT-0500 (hora estándar de Colombia),1689953715,10:35:24 AM,503.70,-59.6
22,"1,015","56205U 23054AD  23202.03620094  .00007941  00000+0  32002-3 0  9995
56205  97.4027  96.7260 0012678 247.6825 112.3070 15.25038345 15340",Fri Jul 21 2023 11:02:58 GMT-0500 (hora estándar de Colombia),1689955378,11:03:08 AM,502.22,-64.5
22,"1,015","56205U 23054AD  23202.36427212  .00007410  00000+0  29879-3 0  9997
56205  97.4026  97.0503 0012682 246.2823 113.7084 15.25041977 15391",Fri Jul 21 2023 11:09:56 GMT-0500 (hora estándar de Colombia),1689955796,11:10:06 AM,509.71,-50.6
22,"1,015","56205U 23054AD  23202.36427212  .00007410  00000+0  29879-3 0  9997
56205  97.4026  97.0503 0012682 246.2823 113.7084 15.25041977 15391",Fri Jul 21 2023 11:12:30 GMT-0500 (hora estándar de Colombia),1689955950,11:12:38 AM,511.00,-45.6
22,"1,015","56205U 23054AD  23202.36427212  .00007410  00000+0  29879-3 0  9997
56205  97.4026  97.0503 0012682 246.2823 113.7084 15.25041977 15391",Fri Jul 21 2023 11:16:14 GMT-0500 (hora estándar de Colombia),1689956174,11:16:23 AM,511.12,-38
27,"1,012","56205U 23054AD  23202.36427212  .00007410  00000+0  29879-3 0  9997
56205  97.4026  97.0503 0012682 246.2823 113.7084 15.25041977 15391",Fri Jul 21 2023 11:18:41 GMT-0500 (hora estándar de Colombia),1689956321,11:18:49 AM,510.04,-32.8
21,"1,017","56205U 23054AD  23202.75795630  .00007250  00000+0  29234-3 0  9999
56205  97.4025  97.4396 0012688 244.7599 115.2324 15.25047557 15454",Mon Jul 24 2023 09:17:37 GMT-0500 (hora estándar de Colombia),1690208257,9:17:46 AM,511.11,-39.7
21,"1,018","56205U 23054AD  23202.75795630  .00007250  00000+0  29234-3 0  9999
56205  97.4025  97.4396 0012688 244.7599 115.2324 15.25047557 15454",Mon Jul 24 2023 09:44:27 GMT-0500 (hora estándar de Colombia),1690209867,9:44:36 AM,489.83,-83.4
